"h_angle","c_value","size"
25,19.25,25.75
25.25,19.25,25.75
25.5,19.25,25.75
25.75,19.25,25.75
26,19.25,25.75
26.25,19.25,25.75
26.5,19.25,25.75
26.75,19.25,25.75
27,19.25,25.75
27.25,19.25,25.75
27.5,19.25,26
27.75,19.25,25.75
28,19.25,25.75
28.25,19.25,26
28.5,19.25,26
28.75,19.25,26
29,19.25,26
29.25,19.25,26
29.5,19.25,26
29.75,19.25,26
30,19.25,26
30.25,19.25,26
30.5,19.25,25.75
30.75,19.25,25.75
31,19.25,25.75
31.25,19.25,25.75
31.5,19.25,25.75
31.75,19.25,25.75
32,19.25,25.75
32.25,19.25,25.5
32.5,19.25,25.5
32.75,19.25,25.5
33,19.25,25.5
33.25,19.25,25.5
33.5,19.25,25.5
33.75,19.25,25.5
34,19.25,25.5
34.25,19.25,25.25
34.5,19.25,25.25
34.75,19.25,25.25
35,19.25,25.25
